"행정구역","2019년02월_총인구수","2019년02월_세대수","2019년02월_세대당 인구","2019년02월_남자 인구수","2019년02월_여자 인구수","2019년02월_남여 비율","2019년03월_총인구수","2019년03월_세대수","2019년03월_세대당 인구","2019년03월_남자 인구수","2019년03월_여자 인구수","2019년03월_남여 비율","2019년04월_총인구수","2019년04월_세대수","2019년04월_세대당 인구","2019년04월_남자 인구수","2019년04월_여자 인구수","2019년04월_남여 비율","2019년05월_총인구수","2019년05월_세대수","2019년05월_세대당 인구","2019년05월_남자 인구수","2019년05월_여자 인구수","2019년05월_남여 비율","2019년06월_총인구수","2019년06월_세대수","2019년06월_세대당 인구","2019년06월_남자 인구수","2019년06월_여자 인구수","2019년06월_남여 비율","2019년07월_총인구수","2019년07월_세대수","2019년07월_세대당 인구","2019년07월_남자 인구수","2019년07월_여자 인구수","2019년07월_남여 비율","2019년08월_총인구수","2019년08월_세대수","2019년08월_세대당 인구","2019년08월_남자 인구수","2019년08월_여자 인구수","2019년08월_남여 비율","2019년09월_총인구수","2019년09월_세대수","2019년09월_세대당 인구","2019년09월_남자 인구수","2019년09월_여자 인구수","2019년09월_남여 비율","2019년10월_총인구수","2019년10월_세대수","2019년10월_세대당 인구","2019년10월_남자 인구수","2019년10월_여자 인구수","2019년10월_남여 비율","2019년11월_총인구수","2019년11월_세대수","2019년11월_세대당 인구","2019년11월_남자 인구수","2019년11월_여자 인구수","2019년11월_남여 비율","2019년12월_총인구수","2019년12월_세대수","2019년12월_세대당 인구","2019년12월_남자 인구수","2019년12월_여자 인구수","2019년12월_남여 비율","2020년01월_총인구수","2020년01월_세대수","2020년01월_세대당 인구","2020년01월_남자 인구수","2020년01월_여자 인구수","2020년01월_남여 비율"
"서울특별시  (1100000000)","9,770,638","4,283,150","          2.28","4,773,605","4,997,033","          0.96","9,770,216","4,290,922","          2.28","4,772,134","4,998,082","          0.95","9,766,886","4,296,066","          2.27","4,769,474","4,997,412","          0.95","9,762,062","4,301,522","          2.27","4,766,085","4,995,977","          0.95","9,757,144","4,304,243","          2.27","4,762,711","4,994,433","          0.95","9,751,415","4,308,300","          2.26","4,759,105","4,992,310","          0.95","9,744,888","4,312,172","          2.26","4,754,998","4,989,890","          0.95","9,740,398","4,315,921","          2.26","4,751,696","4,988,702","          0.95","9,736,289","4,319,322","          2.25","4,749,055","4,987,234","          0.95","9,732,577","4,322,454","          2.25","4,746,636","4,985,941","          0.95","9,729,107","4,327,605","          2.25","4,744,059","4,985,048","          0.95","9,733,509","4,334,918","          2.25","4,745,088","4,988,421","          0.95"
"서울특별시 종로구 (1111000000)","152,880","73,814","          2.07","74,662","78,218","          0.95","152,778","73,914","          2.07","74,536","78,242","          0.95","152,495","73,861","          2.06","74,401","78,094","          0.95","152,220","73,836","          2.06","74,240","77,980","          0.95","152,026","73,828","          2.06","74,190","77,836","          0.95","151,858","73,790","          2.06","74,113","77,745","          0.95","151,766","73,802","          2.06","74,037","77,729","          0.95","151,767","73,942","          2.05","73,952","77,815","          0.95","151,541","73,906","          2.05","73,826","77,715","          0.95","151,457","73,951","          2.05","73,811","77,646","          0.95","151,290","73,947","          2.05","73,746","77,544","          0.95","151,215","73,925","          2.05","73,688","77,527","          0.95"
"서울특별시 종로구 청운효자동(1111051500)","13,010","5,418","          2.40","6,088","6,922","          0.88","12,979","5,405","          2.40","6,069","6,910","          0.88","12,911","5,383","          2.40","6,027","6,884","          0.88","12,884","5,375","          2.40","6,015","6,869","          0.88","12,889","5,382","          2.39","6,029","6,860","          0.88","12,886","5,370","          2.40","6,021","6,865","          0.88","12,824","5,345","          2.40","5,987","6,837","          0.88","12,842","5,364","          2.39","5,986","6,856","          0.87","12,785","5,351","          2.39","5,956","6,829","          0.87","12,758","5,360","          2.38","5,941","6,817","          0.87","12,734","5,356","          2.38","5,939","6,795","          0.87","12,738","5,381","          2.37","5,933","6,805","          0.87"
"서울특별시 종로구 사직동(1111053000)","9,584","4,577","          2.09","4,313","5,271","          0.82","9,504","4,552","          2.09","4,270","5,234","          0.82","9,483","4,546","          2.09","4,262","5,221","          0.82","9,465","4,547","          2.08","4,259","5,206","          0.82","9,447","4,552","          2.08","4,256","5,191","          0.82","9,402","4,546","          2.07","4,238","5,164","          0.82","9,431","4,574","          2.06","4,233","5,198","          0.81","9,415","4,557","          2.07","4,215","5,200","          0.81","9,444","4,581","          2.06","4,234","5,210","          0.81","9,470","4,586","          2.06","4,255","5,215","          0.82","9,535","4,621","          2.06","4,297","5,238","          0.82","9,554","4,628","          2.06","4,301","5,253","          0.82"
"서울특별시 종로구 삼청동(1111054000)","2,820","1,405","          2.01","1,328","1,492","          0.89","2,804","1,400","          2.00","1,322","1,482","          0.89","2,800","1,398","          2.00","1,320","1,480","          0.89","2,798","1,398","          2.00","1,330","1,468","          0.91","2,803","1,401","          2.00","1,335","1,468","          0.91","2,782","1,397","          1.99","1,330","1,452","          0.92","2,772","1,396","          1.99","1,325","1,447","          0.92","2,771","1,397","          1.98","1,327","1,444","          0.92","2,770","1,392","          1.99","1,331","1,439","          0.92","2,753","1,392","          1.98","1,322","1,431","          0.92","2,758","1,396","          1.98","1,326","1,432","          0.93","2,779","1,400","          1.99","1,340","1,439","          0.93"
"서울특별시 종로구 부암동(1111055000)","10,142","4,303","          2.36","4,839","5,303","          0.91","10,111","4,295","          2.35","4,832","5,279","          0.92","10,093","4,295","          2.35","4,824","5,269","          0.92","10,064","4,290","          2.35","4,800","5,264","          0.91","10,068","4,287","          2.35","4,801","5,267","          0.91","10,044","4,278","          2.35","4,787","5,257","          0.91","10,039","4,283","          2.34","4,781","5,258","          0.91","10,017","4,268","          2.35","4,765","5,252","          0.91","10,004","4,261","          2.35","4,764","5,240","          0.91","10,073","4,286","          2.35","4,806","5,267","          0.91","10,100","4,298","          2.35","4,826","5,274","          0.92","10,095","4,298","          2.35","4,817","5,278","          0.91"
"서울특별시 종로구 평창동(1111056000)","18,881","7,530","          2.51","8,859","10,022","          0.88","18,844","7,552","          2.50","8,834","10,010","          0.88","18,757","7,523","          2.49","8,791","9,966","          0.88","18,697","7,506","          2.49","8,765","9,932","          0.88","18,667","7,495","          2.49","8,747","9,920","          0.88","18,674","7,518","          2.48","8,747","9,927","          0.88","18,661","7,515","          2.48","8,739","9,922","          0.88","18,677","7,518","          2.48","8,743","9,934","          0.88","18,701","7,528","          2.48","8,758","9,943","          0.88","18,674","7,525","          2.48","8,745","9,929","          0.88","18,659","7,520","          2.48","8,739","9,920","          0.88","18,653","7,514","          2.48","8,742","9,911","          0.88"
"서울특별시 종로구 무악동(1111057000)","8,415","3,065","          2.75","3,953","4,462","          0.89","8,542","3,111","          2.75","4,008","4,534","          0.88","8,613","3,134","          2.75","4,039","4,574","          0.88","8,644","3,149","          2.74","4,045","4,599","          0.88","8,655","3,155","          2.74","4,046","4,609","          0.88","8,691","3,167","          2.74","4,063","4,628","          0.88","8,670","3,167","          2.74","4,048","4,622","          0.88","8,697","3,177","          2.74","4,060","4,637","          0.88","8,719","3,185","          2.74","4,069","4,650","          0.88","8,695","3,185","          2.73","4,068","4,627","          0.88","8,695","3,187","          2.73","4,060","4,635","          0.88","8,707","3,185","          2.73","4,052","4,655","          0.87"
"서울특별시 종로구 교남동(1111058000)","10,704","4,583","          2.34","4,987","5,717","          0.87","10,702","4,584","          2.33","4,973","5,729","          0.87","10,654","4,570","          2.33","4,949","5,705","          0.87","10,644","4,570","          2.33","4,939","5,705","          0.87","10,609","4,574","          2.32","4,926","5,683","          0.87","10,630","4,577","          2.32","4,951","5,679","          0.87","10,699","4,595","          2.33","4,989","5,710","          0.87","10,624","4,581","          2.32","4,945","5,679","          0.87","10,618","4,588","          2.31","4,944","5,674","          0.87","10,577","4,583","          2.31","4,930","5,647","          0.87","10,562","4,583","          2.30","4,915","5,647","          0.87","10,614","4,595","          2.31","4,933","5,681","          0.87"
"서울특별시 종로구 가회동(1111060000)","4,412","2,059","          2.14","2,060","2,352","          0.88","4,400","2,061","          2.13","2,051","2,349","          0.87","4,385","2,048","          2.14","2,047","2,338","          0.88","4,383","2,046","          2.14","2,037","2,346","          0.87","4,364","2,042","          2.14","2,028","2,336","          0.87","4,362","2,045","          2.13","2,025","2,337","          0.87","4,370","2,050","          2.13","2,028","2,342","          0.87","4,380","2,056","          2.13","2,029","2,351","          0.86","4,375","2,055","          2.13","2,026","2,349","          0.86","4,388","2,062","          2.13","2,028","2,360","          0.86","4,383","2,068","          2.12","2,026","2,357","          0.86","4,374","2,063","          2.12","2,018","2,356","          0.86"
